Source Language,Target Language,Distance,Baseline Accuracy,Best Transfer Accuracy,Accuracy Improvement,Accuracy Improvement vs. 2018,Best Accuracy Team,Baseline Levenshtein,Best Transfer Levenshtein,Levenshtein Improvement,Best Levenshtein Team,POS distribution overlap,N category overlap,V category overlap,ADJ category overlap,DET category overlap
Turkish,Azeri,Closely related,80.0,87.0,7.0,22.0,it-ist-02,0.35,0.22,-0.13,it-ist-01,0.7583,0.52,0.29,0.0,
Turkish,Crimean Tatar,Distantly related,83.0,89.0,6.0,-2.0,CMU-03/it-ist-02,0.24,0.14,-0.1,CMU-03,0.7948,0.25,0.24,0.0,
Turkish,Kazakh,Distantly related,76.0,86.0,10.0,0.0,it-ist-02,0.34,0.16,-0.18,it-ist-02,0.7283,0.32,0.0,0.0,
Turkish,Khakas,Distantly related,76.0,94.0,18.0,8.0,it-ist-01,0.8,0.06,-0.74,it-ist-01,0.7283,0.26,0.0,0.0,
Turkish,Tatar,Distantly related,73.0,83.0,10.0,-7.0,it-ist-02,0.37,0.21,-0.16,it-ist-02,0.7547999999999999,0.25,0.21,0.0,
Turkish,Turkmen,Closely related,86.0,98.0,12.0,8.0,it-ist-01,0.24,0.02,-0.22,it-ist-01,0.7283,0.33,0.0,0.0,
Urdu,Bengali,Closely related,49.0,67.0,18.0,-5.0,CMU-03,1.12,0.98,-0.14,CMU-03,0.9309817817581899,0.44,0.38,,
Urdu,Old English,Distantly related,20.8,40.3,19.5,-6.2,CMU-03,1.72,1.2,-0.52,CMU-03,0.4099,0.43,0.44,0.0,
Uzbek,Azeri,Distantly related,57.0,70.0,13.0,5.0,CMU-03,1.23,0.7,-0.53,CMU-03,0.97,0.87,0.0,,
Uzbek,Crimean Tatar,Distantly related,67.0,67.0,0.0,-24.0,CMU-03,0.49,0.45,-0.04,CMU-03,0.92,0.43,0.0,0.0,
Uzbek,Kazakh,Distantly related,84.0,72.0,-12.0,-14.0,CMU-03,0.2,0.32,0.12,CMU-03,1.0,0.53,,,
Uzbek,Khakas,Distantly related,86.0,92.0,6.0,6.0,it-ist-01,0.24,0.18,-0.06,it-ist-01,1.0,0.41,,,
Uzbek,Tatar,Distantly related,69.0,72.0,3.0,-18.0,CMU-03,0.48,0.35,-0.13,CMU-03,0.97,0.43,0.0,0.0,
Uzbek,Turkmen,Distantly related,80.0,78.0,-2.0,-12.0,CMU-03,0.32,0.42,0.1,CMU-03,1.0,0.57,,,
Welsh,Breton,Closely related,45.0,86.0,41.0,14.0,CMU-03,0.9,0.31,-0.59,CMU-03,1.0,,0.44,,
Welsh,Cornish,Closely related,22.0,42.0,20.0,2.0,it-ist-01,2.44,1.5,-0.94,it-ist-01,1.0,,0.43,,
Welsh,Old Irish,Closely related,6.0,6.0,0.0,-2.0,CMU-03,3.36,3.08,-0.28,CMU-03,0.91,0.0,0.46,,
Welsh,Scottish Gaelic,Closely related,40.0,64.0,24.0,-10.0,CMU-03,1.22,1.08,-0.14,CMU-03,0.18,,0.14,0.0,
Zulu,Swahili,Distantly related,44.0,81.0,37.0,9.0,CMU-03,1.24,0.33,-0.91,CMU-03,0.4189909090909091,0.15,0.17,0.11,
