Source Language,Target Language,Distance,POS distribution similarity,Inflection shape similarity,Fusion similarity,N category overlap,V category overlap,ADJ category overlap,Source Language Baseline Accuracy (soft),Baseline Accuracy (soft),Transfer Accuracy (soft),Accuracy Improvement (soft),Source Language Baseline Levenshtein (soft),Baseline Levenshtein (soft),Transfer Levenshtein (soft),Levenshtein Improvement (soft),Source Language Baseline Accuracy (hard),Baseline Accuracy (hard),Transfer Accuracy (hard),Accuracy Improvement (hard),Source Language Baseline Levenshtein (hard),Baseline Levenshtein (hard),Transfer Levenshtein (hard),Levenshtein Improvement (hard)
Romanian,Slovak,Distantly related,0.378,0.848,0.245,0.15,0.0,0.29,0.185,0.233,0.433,0.2,3.0375,1.97,1.35,0.63,0.239,0.44,0.563,0.123,2.6295,1.19,0.94,0.25
Turkish,Slovak,Unrelated,0.675,0.901,0.039,0.23,0.0,0.08,0.176,0.233,0.423,0.19,3.789,1.97,1.25,0.72,0.145,0.44,0.565,0.125,5.175,1.19,0.9,0.29
Zulu,Slovak,Unrelated,0.599,0.145,0.069,0.08,0.0,0.07,0.043,0.233,0.326,0.093,3.589,1.97,1.7,0.28,0.041,0.44,0.426,-0.014,3.5145,1.19,1.25,-0.06
Arabic,Spanish,Unrelated,0.424,0.704,0.391,0.0,0.52,0.0,0.105,0.201,0.263,0.062,4.2105,2.94,2.61,0.33,0.149,0.359,0.666,0.307,3.8215,1.95,0.86,1.09
Bashkir,Spanish,Unrelated,0.0,0.803,0.0,0.0,0.0,0.0,0.348,0.201,0.311,0.11,1.963,2.94,2.95,-0.01,0.745,0.359,0.352,-0.007,0.6975,1.95,2.15,-0.2
Basque,Spanish,Unrelated,1.0,0.561,0.132,,0.08,,0.062,0.201,0.443,0.242,4.008,2.94,1.79,1.16,0.037,0.359,0.162,-0.197,4.4125,1.95,2.64,-0.69
Czech,Spanish,Distantly related,0.308,0.916,0.271,0.0,0.55,0.0,0.164,0.201,0.363,0.162,2.8335,2.94,2.34,0.6,0.214,0.359,0.576,0.217,2.5675,1.95,1.37,0.58
Estonian,Spanish,Unrelated,0.454,0.877,0.586,0.0,0.52,,0.233,0.201,0.647,0.446,2.7765,2.94,1.01,1.93,0.16,0.359,0.576,0.217,2.984,1.95,1.4,0.55
Georgian,Spanish,Unrelated,0.044,0.847,0.72,0.0,0.56,0.0,0.184,0.201,0.282,0.081,2.7265,2.94,2.87,0.07,0.435,0.359,0.171,-0.188,1.644,1.95,2.68,-0.73
Italian,Spanish,Closely related,1.0,0.739,0.724,,0.82,,0.253,0.201,0.668,0.467,2.611,2.94,1.04,1.9,0.275,0.359,0.657,0.298,2.813,1.95,1.09,0.86
Navajo,Spanish,Unrelated,0.878,0.363,0.433,0.0,0.16,,0.103,0.201,0.352,0.151,4.4965,2.94,1.91,1.03,0.12,0.359,0.487,0.128,4.242,1.95,1.38,0.57
Portuguese,Spanish,Closely related,1.0,0.883,0.812,,0.87,,0.457,0.201,0.727,0.526,1.4435,2.94,1.18,1.76,0.437,0.359,0.731,0.372,1.508,1.95,1.12,0.83
Quechua,Spanish,Unrelated,0.151,0.879,0.292,0.0,0.48,0.0,0.423,0.201,0.537,0.336,2.724,2.94,1.41,1.53,0.248,0.359,0.641,0.282,3.6765,1.95,1.14,0.81
Romanian,Spanish,Closely related,0.622,0.903,0.456,0.0,0.74,0.0,0.185,0.201,0.559,0.358,3.0375,2.94,1.42,1.52,0.239,0.359,0.591,0.232,2.6295,1.95,1.26,0.69
Swedish,Spanish,Distantly related,0.234,0.817,0.117,0.0,0.29,0.0,0.36,0.201,0.374,0.173,1.8325,2.94,2.63,0.31,0.489,0.359,0.628,0.269,1.382,1.95,1.15,0.8
Zulu,Spanish,Unrelated,0.401,0.256,0.567,0.0,0.25,0.0,0.043,0.201,0.415,0.214,3.589,2.94,1.75,1.19,0.041,0.359,0.603,0.244,3.5145,1.95,1.15,0.8
Arabic,Swedish,Unrelated,0.804,0.627,0.187,0.45,0.27,0.25,0.105,0.36,0.395,0.035,4.2105,1.83,2.14,-0.3,0.149,0.489,0.646,0.157,3.8215,1.38,0.76,0.62
Basque,Swedish,Unrelated,0.234,0.495,0.0,0.0,0.05,0.0,0.062,0.36,0.379,0.019,4.008,1.83,1.53,0.3,0.037,0.489,0.421,-0.068,4.4125,1.38,1.34,0.05
Czech,Swedish,Distantly related,0.699,0.899,0.106,0.31,0.39,0.21,0.164,0.36,0.407,0.047,2.8335,1.83,2.49,-0.66,0.214,0.489,0.712,0.223,2.5675,1.38,0.61,0.78
Danish,Swedish,Closely related,0.699,0.977,0.21,1.0,0.89,0.0,0.454,0.36,0.534,0.174,1.4095,1.83,1.41,0.43,0.598,0.489,0.55,0.061,0.8705,1.38,1.03,0.35
Estonian,Swedish,Unrelated,0.781,0.722,0.025,0.21,0.4,0.0,0.233,0.36,0.604,0.244,2.7765,1.83,1.34,0.5,0.16,0.489,0.699,0.21,2.984,1.38,0.64,0.74
Georgian,Swedish,Unrelated,0.699,0.877,0.011,0.33,0.18,0.12,0.184,0.36,0.385,0.025,2.7265,1.83,2.9,-1.07,0.435,0.489,0.465,-0.024,1.644,1.38,1.04,0.34
Italian,Swedish,Distantly related,0.234,0.681,0.0,0.0,0.35,0.0,0.253,0.36,0.531,0.171,2.611,1.83,1.57,0.27,0.275,0.489,0.68,0.191,2.813,1.38,0.84,0.54
Navajo,Swedish,Unrelated,0.356,0.252,0.0,0.0,0.0,0.0,0.103,0.36,0.281,-0.079,4.4965,1.83,2.66,-0.83,0.12,0.489,0.605,0.116,4.242,1.38,0.96,0.42
Quechua,Swedish,Unrelated,0.917,0.865,0.01,0.15,0.23,0.1,0.423,0.36,0.537,0.177,2.724,1.83,1.67,0.17,0.248,0.489,0.718,0.229,3.6765,1.38,0.66,0.72
Uzbek,Swedish,Unrelated,0.632,0.867,0.022,0.25,0.0,0.0,0.41,0.36,0.383,0.023,2.2,1.83,1.9,-0.07,0.04,0.489,0.502,0.013,4.3,1.38,0.99,0.39
Zulu,Swedish,Unrelated,0.834,0.149,0.01,0.09,0.12,0.08,0.043,0.36,0.133,-0.227,3.589,1.83,2.82,-0.99,0.041,0.489,0.576,0.087,3.5145,1.38,1.15,0.23
Bashkir,Turkish,Distantly related,0.748,0.84,0.064,0.32,0.0,0.1,0.348,0.176,0.049,-0.127,1.963,3.79,5.67,-1.88,0.745,0.145,0.247,0.102,0.6975,5.18,3.49,1.68
Basque,Turkish,Unrelated,0.252,0.527,0.0,0.0,0.02,0.0,0.062,0.176,0.01,-0.166,4.008,3.79,7.56,-3.77,0.037,0.145,0.016,-0.129,4.4125,5.18,7.92,-2.75
Crimean Tatar,Turkish,Distantly related,0.792,0.841,0.0,0.25,0.29,0.0,0.77,0.176,0.075,-0.101,1.435,3.79,4.88,-1.09,0.93,0.145,0.29,0.145,0.2,5.18,3.03,2.14
Danish,Turkish,Unrelated,0.796,0.843,0.049,0.15,0.16,0.0,0.454,0.176,0.11,-0.066,1.4095,3.79,4.16,-0.37,0.598,0.145,0.142,-0.003,0.8705,5.18,4.11,1.07
Finnish,Turkish,Unrelated,0.751,0.759,0.23,0.14,0.45,0.07,0.046,0.176,0.198,0.022,4.88,3.79,4.41,-0.62,0.096,0.145,0.329,0.184,4.511,5.18,2.86,2.32
Georgian,Turkish,Unrelated,0.793,0.883,0.411,0.26,0.41,0.21,0.184,0.176,0.036,-0.14,2.7265,3.79,6.19,-2.4,0.435,0.145,0.061,-0.084,1.644,5.18,5.23,-0.05
Hebrew,Turkish,Unrelated,0.522,0.67,0.218,0.19,0.42,0.0,0.203,0.176,0.072,-0.104,1.9375,3.79,4.67,-0.88,0.23,0.145,0.425,0.28,1.8255,5.18,2.59,2.59
Navajo,Turkish,Unrelated,0.373,0.316,0.161,0.07,0.22,0.0,0.103,0.176,0.146,-0.03,4.4965,3.79,4.4,-0.62,0.12,0.145,0.146,0.001,4.242,5.18,4.44,0.74
Quechua,Turkish,Unrelated,0.865,0.899,0.406,0.32,0.45,0.06,0.423,0.176,0.323,0.147,2.724,3.79,3.89,-0.1,0.248,0.145,0.47,0.325,3.6765,5.18,2.71,2.47
