,POS,Person,Polarity,Politeness,Number,Tense,Mood,Case,Definiteness,Aspect,Gender,Animacy,Voice,Finiteness,Comparison,Interrogativity,Possession
POS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person,0,0,0,0.816,0,0.455,0,0,0,-0.025,0,0,0,0,0,0,0
Polarity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeness,0,0.816,0,0,0,0.568,0,0,0,0.112,0,0,0,0,0,0,0
Number,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0
Tense,0,0.455,0,0.568,0,0,0,0,0,0.494,0,0,0,0,0,0,0
Mood,0,0,0,0,0,0,0,0,0,1.114,0,0,0,0,0,0,0
Case,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0
Definiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspect,0,-0.025,0,0.112,0,0.494,1.114,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finiteness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interrogativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Possession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
